"Summit"	"Elevation"	"Latitude"	"Longitude"	"EleSrc"	"Prominence"	"Saddle"	"IsolationKm"
"Hochwechsel"	1743.0	47.5303393	15.9137962	osm	435	1301	10.27
"Hohe Geige"	3394.0	47.0048084	10.9086494	osm	435	2919	7.77
"Trainsjoch"	1707.0	47.615268	12.0543473	osm	433	1260	3.07
"Tanzboden"	929.0	46.5584564	14.1282826	osm	433	502	5.97
"Roadberg"	1270.0	47.5720569	13.2920074	osm	433	823	1.91
"Knížecí stolec"	1237.0	48.846832	14.0201335	osm	433	802	13.02
"Suchý vrch"	994.9	50.0507749	16.6933929	osm	433	562	8.53
"Halserspitz"	1862.0	47.5911671	11.7810799	osm	432	1410	4.67
"Ladinger Spitz"	2079.0	46.8538164	14.651277	osm	431	1644	20.68
"Großer Hornkopf"	3251.0	46.9675049	12.7785362	osm	431	2787	2.77
"Kärntner Storschitz / Pristovški Storžič"	1759.0	46.4312266	14.5254764	osm	430	1304	4.0
"Kirchdachspitze"	2840.0	47.0672523	11.3417966	osm	430	2355	4.17
"Golz"	2004.0	46.6715308	13.3653077	osm	429	1561	3.73
"Achhorn"	1316.0	47.6507789	12.7530574	osm	428	870	2.54
"Montscheinspitze"	2106.0	47.4662036	11.6129699	osm	428	1642	3.46
"Wildgrat"	2971.0	47.1406277	10.8267113	osm	428	2501	4.08
"Gamskofel"	2526.0	46.631226	12.9008722	osm	427	2072	2.13
"Bocksruck"	1763.0	47.2227888	14.3928134	osm	427	1333	2.63
"Lidaunberg"	1237.0	47.79514	13.226101	osm	426	800	3.06
"Schrammacher"	3410.0	47.0269922	11.642467	osm	425	2958	2.89
"Große Schlenkerspitze"	2827.0	47.2490671	10.6154437	osm	423	2369	10.88
"Frudiger"	2163.0	46.9729311	10.5847829	osm	423	1724	2.36
"Kleť"	1083.2	48.8652386	14.2835945	osm	423	661	13.84
"Magura"	1141.0	48.8676406	18.5294261	osm	423	712	10.33
"Klenovský Vepor"	1338.0	48.6891325	19.7697582	osm	423	899	12.1
"Smrekovica"	1200.0	49.0463513	20.8715785	osm	422	772	17.83
"Patteriol"	3056.0	47.0441055	10.1876242	osm	421	2591	2.67
"Hinterer Seelenkogel - Cima delle Anime"	3475.0	46.8015987	11.0443642	osm	421	3023	4.4
"Hochschober"	3240.0	46.9426141	12.6982049	osm	420	2798	5.05
"Singerberg / Žingarica"	1589.0	46.5004712	14.2584248	osm	420	1139	3.43
"Liechelkopf"	2384.0	47.296087	10.179743	osm	420	1939	3.9
"Hochwildstelle"	2747.0	47.334956	13.8302305	osm	420	2293	9.13
"Zellinkopf"	2597.0	46.8942612	12.9511919	osm	420	2155	4.35
"Pasja ravan"	1020.0	46.097735	14.2292296	osm	420	591	8.55
"Hochtürnach"	1770.0	47.6605682	15.122491	osm	419	1311	3.37
"Kalški greben"	2225.0	46.332239	14.5385633	osm	419	1795	2.13
"Rinsennock"	2334.0	46.909593	13.8500875	osm	418	1901	7.16
"Kuhalm"	1784.0	47.0350844	14.2501494	osm	418	1359	5.87
"Schareck"	3123.0	47.0415503	13.0177419	osm	417	2694	6.94
